c1cc(ccc1C(=O)NP(=O)(N)N)F	51173-inactive-pubchem
C1CN(C[C@@H](N1)C(=O)O)C/C=C/P(=O)(O)O	6435801-inactive-pubchem
c1ccc2c(c1)cccc2N=C=S	11080-inactive-pubchem
CNC1(CCCCC1=O)c1ccccc1Cl	3821-inactive-pubchem
c1cc(=O)oc2cc(c(cc12)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O	5281417-inactive-pubchem
CC1(CCC(CC1)NC(=O)[C@H](CCC(=O)O)N)C	3074827-inactive-pubchem
Cc1ccccc1N=Nc1cc(c(cc1)N=Nc1c(ccc2ccccc12)O)C	62330-inactive-pubchem
CCCC(CCCC(CCC(CCC(CCC(CCCC(CCC)Cl)Cl)Cl)Cl)Cl)Cl	6537497-inactive-pubchem
c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)N	4511-inactive-pubchem
c1ccc(cc1)N=Nc1c(nc(cc1)N)N	8691-inactive-pubchem
CCOC(=O)C(CS)NCCNC(CS)C(=O)OCC	60196295-inactive-pubchem
C[C@H]1CCC[C@@H](CCCCCc2c(c(cc(c2)O)O)C(=O)O1)O	2999413-inactive-pubchem
CC(C)(C)CC(C)(C)c1ccc(cc1)O	8814-inactive-pubchem
c1ccc(cc1)C#CCN	11957674-inactive-pubchem
CNc1ccc(cc1)[N+](=O)[O-]	7483-inactive-pubchem
c1ccc(cc1)CCCNc1c(cc(cc1)[N+](=O)[O-])C(=O)O	4549-inactive-pubchem
c1ccc(cc1)N=Nc1ccccc1	2272-inactive-pubchem
CC(=O)CC(c1ccc(cc1)[N+](=O)[O-])c1c(c2ccccc2oc1=O)O	54676537-inactive-pubchem
Cc1c(n2cccc(c2n1)OCc1ccccc1)CC#N	108137-inactive-pubchem
c1cc2c(cc1C(F)(F)F)[nH]c(=O)n2c1c(ccc(c1)C(F)(F)F)O	4552-inactive-pubchem
c1ccc2c(c1)nnn2N	1367-inactive-pubchem
c1cc(c(cc1N=Nc1cc(c(cc1)[O-])C(=O)O)C(=O)O)[O-]	135413505-inactive-pubchem
C1CC(c2c1cc(cc2)C(=O)O)(C(=O)O)N	2071-inactive-pubchem
c1cc(c(c(c1)F)C(=O)NC(=O)Nc1cc(c(cc1)Cl)Oc1c(cc(cn1)C(F)(F)F)Cl)F	65651-inactive-pubchem
Cc1nc(ccc1)C#Cc1ccccc1	9794588-inactive-pubchem
CC(CNC1CCCCC1)OC(=O)c1ccccc1	102426-inactive-pubchem
CCCCC(CC)COC(=O)c1ccccc1O	8364-inactive-pubchem
C1CCN(CC1)C(=O)c1cc2c(cc1)OCCO2	2890-inactive-pubchem
CC(C(C)(C)C)N=C(NC#N)Nc1ccncc1	55329-inactive-pubchem
c1cc2c(cc1[N+](=O)[O-])[nH]cn2	7195-inactive-pubchem
C(CCNCCCN)CNCCCN	9384-inactive-pubchem
c1cc2c3c(cc(c2c(c1)S(=O)(=O)N)[N+](=O)[O-])nc(c(n3)[O-])[O-]	6098006-inactive-pubchem
CC(C)(C(=O)O)Oc1ccc(cc1)C1CCCc2ccccc12	19592-inactive-pubchem
CCCCC(CC)COC(=O)COc1c(cc(cc1)Cl)Cl	61286-inactive-pubchem
CC(C)(C)c1ccccc1O	6923-inactive-pubchem
CC(C)(C)c1c(ccc(c1)O)O	16043-inactive-pubchem
CC(C)OC(=O)Cc1ccccc1	62553-inactive-pubchem
CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO	443600-inactive-pubchem
c1c2c(cc(c1[N+](=O)[O-])[N+](=O)[O-])[nH]c(=O)c(=O)[nH]2	3899541-inactive-pubchem
CCOC(=O)c1cc(ccc1)N	261501-inactive-pubchem
CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C	10569-inactive-pubchem
CCNS(=O)(=O)c1ccc(cc1)C	6637-inactive-pubchem
CC1(C2CCC1(C[N+](C2)(C)CCC[N+](C)(C)C)C)C	26483-inactive-pubchem
CC(C)(c1cc(c(c(c1)Br)O)Br)c1cc(c(c(c1)Br)O)Br	6618-inactive-pubchem
C1Cc2c(ccc(c2C1)Cl)O	8961-inactive-pubchem
C=CCc1cc2c(cc1)OCO2	5144-inactive-pubchem
C=Cc1ccccc1C=C	66666-inactive-pubchem
C=Cc1ccc(cc1)C=C	66041-inactive-pubchem
c1ccc(cc1)/[N+](=N/[O-])/[O-]	135465076-inactive-pubchem
CN(CCCCCCCCCCN(C)C(=O)Oc1ccccc1[N+](C)(C)C)C(=O)Oc1ccccc1[N+](C)(C)C	45105092-inactive-pubchem
CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/c1ccccc1)c1cc(ccc1)[N+](=O)[O-])C(=O)OCCOC	5282138-inactive-pubchem
C[C@@H]1CC2(C3C(O3)(C(O2)O)C)OC2C1[C@]1(CC[C@@]34C[C@]53CCC(C([C@@H]5CC=C4[C@@]1(C2)C)(C)C)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)C	6537499-inactive-pubchem
C1Nc2c(cc(c(c2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1	3647-inactive-pubchem
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1	2268-inactive-pubchem
COc1ccc(cc1)CC=C	8815-inactive-pubchem
C[C@H](CCCC(C)C)[C@@H]1CC[C@H]2[C@@]1(CCCC2=CC=C1C[C@H](C[C@@H](C1=C)O)O)C	73265251-inactive-pubchem
c1cc(ccc1O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	440936-inactive-pubchem
C[NH2+]CCCCC[NH2+]CCC1CC2CCCC(C2)C1	11957560-inactive-pubchem
COc1c(ccc(c1)CC=C)O	3314-inactive-pubchem
C1CCC(CC1)(C#N)N1CCCCC1	62529-inactive-pubchem
C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2C/C=C/1\[C@@H](COC1=O)O)(C)CO)O	5318517-inactive-pubchem
C1CN(CCN1)c1c2c(ccc1)OCCO2	3025067-inactive-pubchem
CCN(CC)c1cc2c(cc1)c(cc(=O)o2)C	7050-inactive-pubchem
C[C@@H]1CC[C@H]2[C@H](C(OC3C42[C@H]1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C	60196289-inactive-pubchem
CCCc1ncc(c(n1)N)C[n+]1ccccc1C	8732-inactive-pubchem
c1ccc(c(c1)N)S/C(=C(\C(=C(/Sc1ccccc1N)\N)\C#N)/C#N)/N	9951825-inactive-pubchem
CCNC1(CCCCC1=O)c1cccs1	26534-inactive-pubchem
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]1[C@H](O[C@@]([C@H]1O)(CO)O)CO)O)O)O)O	11333-inactive-pubchem
CC(C)c1c(cc2c(c1)CC[C@@H]1[C@@]2(CCC[C@@]1(C)C(=O)O)C)S(=O)(=O)O	65781-inactive-pubchem
C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N	294641-inactive-pubchem
C1C[C@]([C@H]([C@@H]([C@@H]1OC(=O)/C=C/c1cc(c(cc1)O)O)O)O)(C(=O)O)OC(=O)/C=C/c1cc(c(cc1)O)O	6537500-inactive-pubchem
c1ccc2c(c1)cnnc2NN	9351-inactive-pubchem
C/C(=C\c1ccc(cc1)C(=O)O)/c1cc2c(cc1)C(CCC2(C)C)(C)C	5289501-inactive-pubchem
C[C@H](CO)c1cc2c(cc1)cc(cc2)OC	3032818-inactive-pubchem
CCN1C(=O)C=CC1=O	4362-inactive-pubchem
CCCCC(CC)COC(=O)c1ccc(cc1)N(C)C	30541-inactive-pubchem
CC(C)c1cc2c(cc1)n(c(c2SC(C)(C)C)CC(C)(C)C(=O)[O-])Cc1ccc(cc1)Cl	4519262-inactive-pubchem
C1Oc2c(O1)cc(cc2)C=O	8438-inactive-pubchem
c1cn(c(=O)[nH]c1=O)CC(C(=O)O)N	5123-inactive-pubchem
c1cc2c(C(=O)C(=O)c3c2cccn3)nc1	6764-inactive-pubchem
CN(C)c1ccc(cc1)N=Nc1ccccc1	6053-inactive-pubchem
COc1c(cc2c(c1)CCN2C(=O)Nc1cc(cc(c1)c1cnccc1)F)C(F)(F)F	443390-inactive-pubchem
CC(=O)[C@H]1CCC2[C@@]1(CCC1C2CC=C2[C@@]1(CC[C@@H](C2)OS(=O)(=O)[O-])C)C	23682212-inactive-pubchem
c1cc(c(cc1Br)Br)Oc1cc(c(cc1Br)Br)Br	36159-inactive-pubchem
CC(C)(c1ccccc1)OO	6629-inactive-pubchem
C1CCC2(CC1)OCC(O2)CN=C(N)N	68552-inactive-pubchem
CCCc1ccc(cc1)C(=O)O	137601-inactive-pubchem
c1ccc(cc1)COCc1ccccc1	7657-inactive-pubchem
c1cc(c(cc1C=O)Cl)Cl	22710-inactive-pubchem
CN1c2ccccc2C(c2c(S1(=O)=O)cc(cc2)Cl)NCCCCCCC(=O)[O-]	23663953-inactive-pubchem
c1cc(ccc1C=O)C(=O)O	12088-inactive-pubchem
C1[C@H]([C@@H]([C@H](C(O1)Nc1ccc(cc1)C(=O)O)O)O)O	65760-inactive-pubchem
COc1cc(c(cc1C=O)OC)OC	20525-inactive-pubchem
COc1ccc(cc1)N=[N+](c1ccc(cc1)OC)[O-]	15277-inactive-pubchem
C1CC(CCC1CC1CCC(CC1)N)N	15660-inactive-pubchem
CC=Cc1cc(c(cc1)O)OC	7338-inactive-pubchem
Cc1cc(c2[C@H]3[C@H]4[C@](CC[C@@H]5C4(CCCC5(C)C)CO3)(Oc2c1)C)O	192160-inactive-pubchem
C[N+]1(CCCC1)CCCCC[N+]1(CCCC1)C	6604155-inactive-pubchem
[C@H]([C@@H](C(=O)O)S)(C(=O)O)S	197883-inactive-pubchem
c1cc2c(ccc(=O)o2)cc1N=O	1871-inactive-pubchem
C/C(=C(\C#N)/C(=O)Nc1c(ccc(c1)Br)Br)/O	54676905-inactive-pubchem
COC(=O)c1ccc(cc1)O	7456-inactive-pubchem
c1cc(c(cc1/C=C(\C#N)/C(=O)c1cc(c(cc1)O)O)O)O	5328760-inactive-pubchem
c1ccc(cc1)S(=O)(=O)NCCc1ccc(s1)OCC(=O)O	65940-inactive-pubchem
c1cc(cc(c1)O)CNN	2724402-inactive-pubchem
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O	6036-inactive-pubchem
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C	22475-inactive-pubchem
CC1CC(CC(C1)(C)C)OC(=O)C(c1ccccc1)O	2893-inactive-pubchem
CCOc1c2c(c(cc1)S(=O)(=O)O)cccn2	23674-inactive-pubchem
CC1(C2CCC(C2)(C1=O)C)C	14525-inactive-pubchem
C[C@](Cc1ccc(cc1)O)(C(=O)O)N	441350-inactive-pubchem
COC(=O)c1cnccc1	7151-inactive-pubchem
c1cc(ccc1C(CN)(CS(=O)(=O)O)O)Cl	1564-inactive-pubchem
C1CCc2nnnn2CC1	5917-inactive-pubchem
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O	439174-inactive-pubchem
c1cc2c(cc1[N+](=O)[O-])C(=O)NC2=O	6969-inactive-pubchem
CCCOc1cc2c(cc1)nc([nH]2)NC(=O)OC	4622-inactive-pubchem
CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2c3cc4c(cc3CCN3[C@@]2(CCC3)C=C1OC)OCO4)O)O	285033-inactive-pubchem
c1cc(ccc1C(=O)NCC(=O)O)N	2148-inactive-pubchem
c1ccc(cc1)C(=O)NCC(=O)O	464-inactive-pubchem
CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C	638072-inactive-pubchem
CC1=C(C(C(=C(N1)N)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1)c1cc(ccc1)[N+](=O)[O-])C(=O)OC(C)C	65948-inactive-pubchem
C#CC(CCC(=O)O)N	3452-inactive-pubchem
CCOc1cccc(c1)N	12120-inactive-pubchem
CCOc1ccccc1N	7203-inactive-pubchem
CCOc1cc2c(c3c(cc(cc3)N)nc2cc1)N	165457-inactive-pubchem
C[N+](C)(CCC(=O)CC[N+](C)(C)c1ccc(cc1)CC=C)c1ccc(cc1)CC=C	11957453-inactive-pubchem
Cc1ccc(cc1)C(C)(C)c1ccc(cc1)C	264852-inactive-pubchem
Cc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1	12628-inactive-pubchem
CCCc1c(ccc(c1O)C(=O)C)OCCCOc1ccc(cc1)OCC(=O)O	6603901-inactive-pubchem
c1ccc2c(c1)c(c[nH]2)/C=C(\C#N)/C(=O)c1cc(c(cc1)O)O	5329275-inactive-pubchem
c1ccc2c(c1)ncc1noc(=O)n21	1456-inactive-pubchem
